Test,n_sources,"ma , _out_degree",n_nodes,"ma , _instances",n_compute,n_instances,g_diam,n_sinks,median_out_degree,config,n_math,n_edges
convert-uchar2-uint2,3,1,6,1,1,4,3,2,1,8,0,4
convert-float8-short8,1,8,18,1,8,10,3,1,1,5,0,24
vec_step-short,1,1,3,1,0,2,2,1,1,5,0,2
mad_hi-ushort,3,1,9,1,2,6,4,1,1,5,0,8
rshift_sat_pos_b_ii,2,8,27,1,8,11,3,1,1,14,0,40
bitselect-ushort,4,2,12,1,4,8,4,1,1,2,0,12
median_vec4,3,6,77,1,67,71,8,1,2,9,0,135
copysign-float2,4,2,15,1,6,9,4,1,1,2,0,18
copysign-float3,4,3,20,1,9,12,4,1,1,2,0,27
copysign-float4,4,4,25,1,12,15,4,1,1,3,0,36
median_vec1,1,5,34,1,27,29,9,1,1,0,0,52
median_vec2,1,6,46,1,38,40,8,1,2,9,0,78
"ma , pool_8 , 8_with_bounds",3,18,96,1,74,77,6,1,1,1,0,174
gather-to-wide-load-2,2,4,23,1,12,15,3,1,1,2,0,44
upsample-short8,3,8,20,1,8,11,3,1,2,3,0,40
min-short,2,1,6,1,1,4,3,1,1,3,0,5
upsample-short4,3,4,12,1,4,7,3,1,2,3,0,20
upsample-short3,3,3,11,1,3,6,3,1,1,1,0,16
upsample-short2,3,2,8,1,2,5,3,1,1,3,0,10
"ugly_bo , 2bo , ",3,12,82,2,62,66,10,1,1,1,0,140
convert-short4-uchar4,1,2,4,1,0,2,2,1,1,8,0,4
lshr-basic-uchar-1_pma,2,8,19,1,8,10,3,1,1,14,0,32
"min-ma , -char-transformation-1_pma",3,8,124,1,104,107,6,1,1,11,0,192
convert-int3-float3,1,3,8,1,3,5,3,1,1,14,0,9
native_log10-float,2,1,6,1,2,4,4,1,1,5,2,5
convert-int8-short8,1,8,10,1,0,2,2,1,1,0,0,16
sqrt-float,1,1,4,1,1,3,3,1,1,12,1,3
iv-select-acc-2way,2,1,5,3,1,5,3,1,1,11,0,4
sub_sat-short3,6,5,22,1,11,15,4,2,1,8,0,39
"mul-hi-mi , ed-uchar-ushort-1-wide_pma",2,8,35,1,16,19,3,1,2,2,0,64
rhadd-uchar3,6,2,16,1,5,9,4,2,1,5,0,16
rhadd-uchar2,3,1,8,1,2,5,4,1,1,8,0,7
add-non-splat-non-imm-1d-short8_pma,5,4,14,1,4,6,3,1,1,11,0,16
rhadd-uchar8,3,4,20,1,8,11,4,1,1,5,0,28
add_sat-short8,4,8,41,1,28,31,4,1,1,1,0,96
add_sat-short3,6,5,22,1,11,15,4,2,1,0,0,39
add_sat-short2,4,5,14,1,7,10,4,1,1,15,0,24
dot-uchar4-uchar4,2,2,12,1,5,8,4,1,1,8,0,13
add_sat-short4,4,5,23,1,14,17,4,1,1,15,0,48
dot-char4-uchar4,2,2,12,1,5,8,4,1,1,15,0,13
rotate-uchar8,3,8,48,1,36,39,6,1,1,1,0,68
rotate-uchar4,3,4,26,1,18,21,6,1,1,15,0,34
rotate-uchar2,3,2,15,1,9,12,6,1,1,15,0,17
rotate-uchar3,3,4,26,1,18,21,6,1,1,15,0,34
convert-float2-char2,1,2,6,1,2,4,3,1,1,15,0,6
mad_hi-char16,4,8,53,1,24,28,5,1,1,15,0,80
convert-float16-ushort16,2,8,35,1,16,19,3,1,1,15,0,48
convert-char-float,1,1,5,1,2,4,4,1,1,15,0,4
add_low_rshift_sat_pos_h_ui,3,4,16,1,4,8,3,1,1,0,0,24
select-float4,3,4,28,1,12,16,4,1,2,15,0,48
select-float2,3,2,16,1,6,10,4,1,2,15,0,24
convert-float2-int2_sat,6,4,27,1,18,20,4,1,2,1,0,50
select-float8,3,8,52,1,24,28,4,1,2,15,0,96
sub-transformations-abs-pos-sat-short-wide-1_pma,2,8,75,1,56,59,5,1,1,0,0,120
rshift_sat_pos_h_ii,2,8,27,1,8,11,3,1,1,8,0,40
clamp-short4_scalar,3,4,16,1,8,12,4,1,1,0,0,24
mul-cospi-float2,2,2,9,1,2,5,3,1,1,15,2,10
convert-char3-float3,2,4,12,1,7,9,5,1,1,1,0,16
radians-float16,3,16,37,1,16,20,3,2,1,1,0,64
"iv-select-acc-eq-id , -innerLoop-ver2",2,1,6,3,2,7,4,1,1,1,0,5
mul-hi-ushort-1_pma,2,8,35,1,16,19,3,1,2,0,0,64
rotate-char,4,2,15,1,8,11,6,1,1,14,0,18
add_low_rshift_sat_pos_b_ii,3,8,28,1,8,12,3,1,1,2,0,48
islessequal-float,2,1,6,1,1,4,3,1,1,15,0,5
convert-float2-int2_sat_rtz,6,4,27,1,18,20,4,1,2,15,0,50
min-ushort,2,1,6,1,1,4,3,1,1,15,0,5
convert-float2-int2_sat_rtp,6,4,27,1,18,20,4,1,2,15,0,50
convert-uint-int,1,1,3,1,0,2,2,1,1,15,0,2
"mul-e , p2-float8",2,8,27,1,8,11,3,1,1,15,8,40
shl-complicated-char-1_pma,2,8,35,1,16,19,3,1,2,0,0,64
islessequal-float2,2,2,11,1,4,7,4,1,1,1,0,12
islessequal-float3,2,3,15,1,6,9,4,1,1,1,0,18
vec_step-char8,1,1,3,1,0,2,2,1,1,15,0,2
convert-char3-float3_rtp,2,4,12,1,7,9,5,1,1,1,0,16
islessequal-float4,2,4,19,1,8,11,4,1,1,1,0,24
ushort2fp_with_shift,2,8,23,1,16,18,4,1,1,1,0,36
vec_step-char2,1,1,3,1,0,2,2,1,1,15,0,2
vec_step-char3,1,1,3,1,0,2,2,1,1,15,0,2
islessequal-float8,2,8,35,1,16,19,4,1,1,1,0,48
convert-float2-int2_sat_rte,6,4,27,1,18,20,4,1,2,1,0,50
vec_step-char4,1,1,3,1,0,2,2,1,1,0,0,2
memcpy_2D,2,8,19,1,8,10,3,1,1,11,0,32
"iv-select-acc-eq-id , -innerLoop-ver2-i16",2,2,7,3,3,8,4,1,1,5,0,7
sub-transformations-none-none-abs-uint-1_pma,2,4,15,1,4,7,3,1,1,11,0,20
convert-float8-int8_sat,6,8,87,1,72,74,4,1,2,3,0,200
"iv-select-acc-lt-id , -innerLoop",2,1,6,3,2,7,4,1,1,11,0,5
mad_sat-char4,7,4,34,1,20,24,6,1,1,1,0,50
mad_sat-char3,7,3,30,1,16,20,6,1,1,1,0,40
mad_sat-char2,7,2,21,1,10,14,6,1,1,1,0,25
hsub_int,2,1,6,1,1,4,3,1,1,11,0,5
"ma , -char16",2,8,51,1,32,35,4,1,1,1,0,80
mad_sat-char8,7,8,60,1,40,44,6,1,1,1,0,100
load-store-bound-1,2,4,11,1,4,6,3,1,1,5,0,16
pma6_gather_and_4_loads,5,2,19,1,6,12,8,1,1,2,0,20
convert-int-uchar,1,1,3,1,0,2,2,1,1,1,0,2
floor-float4,1,4,10,1,4,6,3,1,1,1,0,12
smoothstep-float4,5,4,54,1,36,40,8,1,1,12,4,76
missing_wait_9,2,8,27,1,8,11,3,1,1,2,0,40
missing_wait_8,2,8,19,1,8,10,3,1,1,1,0,32
convert-float-uchar_sat_rte,7,4,20,1,11,13,6,1,1,15,0,28
missing_wait_3,2,8,19,1,8,10,3,1,1,1,0,32
missing_wait_2,2,8,19,1,8,10,3,1,1,2,0,32
dot-float4,2,4,18,1,7,10,5,1,1,1,0,23
missing_wait_7,2,8,19,1,8,10,3,1,1,2,0,32
missing_wait_6,2,8,27,1,8,11,3,1,1,2,0,40
missing_wait_5,2,8,19,1,8,10,3,1,1,0,0,32
missing_wait_4,2,8,19,1,8,10,3,1,1,0,0,32
rshift_sat_h_ii,2,4,15,1,4,7,3,1,1,11,0,20
convert-float3-uchar3_sat,7,4,44,1,33,35,6,1,2,1,0,84
shl-const-non-imm-mask-short-wide-1_pma,2,16,27,1,16,18,3,1,1,2,0,56
add-non-splat-imm-1d-int8_pma,8,8,24,1,7,9,2,1,1,2,0,30
sqrt-mul-float8,2,8,27,1,8,11,3,1,1,3,8,40
any-char2,6,2,12,1,4,7,5,2,1,1,0,11
any-char3,6,2,14,1,5,8,6,2,1,3,0,14
add-1d-char-imm_pma,2,8,19,1,8,10,3,1,1,2,0,32
any-char8,6,4,24,1,13,16,10,2,1,3,0,32
"min-ma , -short-1-wide_pma",2,8,59,1,40,43,4,1,1,4,0,112
convert-float8-char8_rte,1,8,18,1,8,10,3,1,1,3,0,24
convert-float2-uchar2_sat,7,4,32,1,22,24,6,1,2,12,0,56
convert-uint-float_rte,1,1,4,1,1,3,3,1,1,3,0,3
convert-float-short_rtp,1,1,4,1,1,3,3,1,1,3,0,3
accumulate-short8_pma,1,4,10,2,4,10,3,1,1,10,0,12
convert-uint-float_rtn,7,2,18,1,9,11,6,1,1,2,0,21
convert-float8-char8_rtn,1,8,18,1,8,10,3,1,1,2,0,24
clamp-uchar16,3,8,60,1,32,36,4,1,1,3,0,104
convert-float-short_rtz,1,1,4,1,1,3,3,1,1,1,0,3
convert-float-short_rte,1,1,4,1,1,3,3,1,1,2,0,3
min-uint16,4,8,54,1,16,22,3,2,1,2,0,80
convert-float8-char8_rtp,1,8,18,1,8,10,3,1,1,12,0,24
convert-uint-float_rtp,7,2,18,1,9,11,6,1,1,12,0,21
convert-float-short_rtn,1,1,4,1,1,3,3,1,1,12,0,3
convert-uint-float_rtz,7,2,18,1,9,11,6,1,1,14,0,21
abs_diff-int,2,1,6,1,1,4,3,1,1,14,0,5
scalar-livein-int_pma,3,2,10,1,2,6,3,2,1,9,0,10
convert-uint-uchar,1,1,3,1,0,2,2,1,1,2,0,2
convert-ushort-uint,3,1,5,1,0,3,2,2,1,14,0,3
shift-dl-test-2_pma,5,16,47,1,33,35,4,1,2,0,0,106
convert-float-uint_sat,3,4,14,1,9,11,4,1,2,14,0,23
iv_cmp_pred_and_actual_use_long_chain,5,2,18,2,11,15,6,1,1,7,0,19
add-transformations-abs-pos-sat-char-wide-1_pma,3,16,100,1,80,83,8,1,1,12,0,168
shl-complicated-char-3_pma,3,8,52,1,32,35,5,1,1,1,0,88
cmp-basic-ushort8-1_pma,10,7,23,1,7,10,3,1,1,0,0,34
convert-uchar-int,2,1,5,1,1,3,3,1,1,12,0,4
isequal-float16,4,8,70,1,32,38,4,2,1,12,0,96
convert-float8-short8_rtn,1,8,18,1,8,10,3,1,1,3,0,24
convert-float8-short8_rte,1,8,18,1,8,10,3,1,1,3,0,24
rotate-ushort3,2,2,15,1,8,11,4,1,1,1,0,20
convert-float8-short8_rtz,1,8,18,1,8,10,3,1,1,3,0,24
convert-short-int,1,1,4,1,1,3,3,1,1,12,0,3
convert-float8-short8_rtp,1,8,18,1,8,10,3,1,1,3,0,24
convert-float-char_sat,6,4,18,1,10,12,5,1,1,0,0,26
convert-short16-float16_rte,1,8,27,1,16,19,3,2,1,0,0,40
log2-float,1,1,4,1,1,3,3,1,1,14,1,3
convert-ushort16-float16,1,8,27,1,16,19,3,2,1,3,0,40
cmp-basic-uint-1_pma,2,8,19,1,8,10,3,1,1,1,0,32
convert-uint4-float4,1,4,10,1,4,6,3,1,1,3,0,12
atan-mul-float3,2,3,12,1,3,6,3,1,1,2,3,15
add-non-splat-non-imm-1d-short16_pma,9,8,26,1,8,10,3,1,1,1,0,32
convert-float2-ushort2_sat,7,4,32,1,22,24,6,1,2,12,0,56
"pretty_bo , 2bo , ",3,11,77,2,57,61,10,1,1,3,0,130
printf-in-eyeq-offload,2,8,19,1,8,10,3,1,1,15,0,32
"native_e , p10-float3",2,3,9,1,3,5,3,1,1,14,3,12
convert-float-short_sat_rtn,6,4,18,1,10,12,5,1,1,2,0,26
convert-float-short_sat_rte,6,4,18,1,10,12,5,1,1,2,0,26
convert-float-short_sat_rtz,6,4,18,1,10,12,5,1,1,2,0,26
mul_hi-ushort,2,1,6,1,1,4,3,1,1,12,0,5
convert-float-short_sat_rtp,6,4,18,1,10,12,5,1,1,12,0,26
"ma , -float",2,1,6,1,1,4,3,1,1,14,0,5
convert-short-ushort,1,1,3,1,0,2,2,1,1,3,0,2
all-short3,4,2,10,1,3,6,4,2,1,14,0,9
shl-const-non-imm-non-splatted-mask-int_pma,5,4,14,1,4,6,3,1,1,12,0,16
"ma , -uint16",4,8,54,1,16,22,3,2,1,0,0,80
convert-char3-uint3,3,2,9,1,3,5,3,1,1,9,0,11
convert-short2-uint2,1,2,5,1,2,4,3,1,1,15,0,5
uchar-scalar-interlace-iterator,3,2,9,1,3,6,4,1,1,14,0,9
unaligned-store-offset-0-width-3,2,3,8,1,3,6,3,1,1,3,0,11
vec_step-short16,1,1,3,1,0,2,2,1,1,15,0,2
select-short16,3,8,44,1,16,20,3,1,2,0,0,88
add_low_rshift_sat_h_ui,3,4,16,1,4,8,3,1,1,11,0,24
"lde , p-float",2,1,8,1,3,6,5,1,1,9,1,7
"mi , -float3",3,4,28,1,12,16,5,1,1,15,0,40
"mi , -float2",3,2,16,1,6,10,5,1,1,15,0,20
"mi , -float4",3,4,28,1,12,16,5,1,1,0,0,40
convert-uchar8-float8_rtn,1,4,14,1,8,10,3,1,1,1,0,20
"mi , -float8",3,8,52,1,24,28,5,1,1,15,0,80
gather-movable-base,1,1,5,1,0,3,4,1,1,1,0,4
mul_hi-uchar3,6,2,15,1,4,8,4,2,1,0,0,15
masked_load_int8_with_bounds,2,16,27,1,16,18,3,1,1,15,0,56
"mul-basic-mi , ed-short-char-short-wide_pma",2,8,43,1,24,27,4,1,1,2,0,72
convert-uint3-float3_rtz,7,3,38,1,27,29,6,1,2,1,0,63
convert-int4-float4,1,4,10,1,4,6,3,1,1,1,0,12
scaleWarpWithSeparateBounds,20,12,139,3,104,117,18,1,1,0,0,249
convert-float2-ushort2_rtz,1,2,6,1,2,4,3,1,1,1,0,6
clamp-ushort,3,1,9,1,2,6,4,1,1,0,0,8
mul24-uint16,4,8,86,1,48,54,3,2,1,3,0,176
native_log10-float8,2,8,27,1,16,18,4,1,1,15,16,40
convert-uchar8-float8_rtz,1,4,14,1,8,10,3,1,1,1,0,20
"ma , -char",2,1,8,1,3,6,4,1,1,15,0,7
convert-uint4-uchar4,1,4,6,1,0,2,2,1,1,15,0,8
step_scalar-float16,4,32,71,1,48,53,4,2,1,1,0,145
add_sat-uchar,4,2,11,1,4,7,5,1,1,15,0,11
add-wide-interlace-1d-int_pma,3,8,29,1,16,19,3,2,1,2,0,56
fp_mad-const,5,4,18,1,4,8,3,1,1,0,0,24
pma_acopy_3D1_uint,2,8,19,1,8,10,3,1,1,0,0,32
all-int3,2,3,9,1,3,5,4,1,1,15,0,10
cmp-basic-uchar16-1_pma,10,8,35,1,16,18,4,1,1,9,0,48
convert-ushort4-char4,1,2,4,1,0,2,2,1,1,0,0,4
mad_sat-short16,5,16,94,1,64,68,6,1,1,12,0,168
rhadd-short16,3,16,68,1,48,51,4,1,1,0,0,112
"iv-select-acc-eq-id , -innerLoop-ver2-nonNeutral-i16",3,2,8,3,3,8,4,1,1,15,0,8
smoothstep-float,5,2,18,1,9,13,8,1,1,15,1,19
rotate-char4,3,4,26,1,18,21,6,1,1,0,0,34
rotate-char2,3,2,15,1,9,12,6,1,1,0,0,17
rotate-char3,3,4,26,1,18,21,6,1,1,0,0,34
rotate-char8,3,8,48,1,36,39,6,1,1,1,0,68
"ma , -uchar8",2,4,19,1,8,11,3,1,2,15,0,32
"ma , -uchar2",2,2,7,1,2,5,3,1,1,0,0,8
"ma , -uchar3",4,2,12,1,3,7,3,2,1,1,0,14
"ma , -uchar4",2,2,11,1,4,7,3,1,2,1,0,16
vecmem-copy-row-to-col_pma,3,1,5,1,0,4,1,3,0,12,0,2
convert-float-char_rte,1,1,4,1,1,3,3,1,1,1,0,3
convert-uchar16-char16,1,7,9,1,0,2,2,1,1,1,0,14
convert-float8-int8_rtz,1,8,18,1,8,10,3,1,1,1,0,24
racc-char2_pma,1,1,4,2,1,4,3,1,1,15,0,3
convert-short4-ushort4,1,2,4,1,0,2,2,1,1,1,0,4
convert-float8-int8_rtp,1,8,18,1,8,10,3,1,1,1,0,24
clamp-short8_scalar,3,8,26,1,16,20,4,1,1,1,0,46
convert-float8-int8_rtn,1,8,18,1,8,10,3,1,1,1,0,24
convert-float8-int8_rte,1,8,18,1,8,10,3,1,1,12,0,24
convert-short2-float2,1,2,5,1,2,4,3,1,1,1,0,5
add_low_rshift_sat_pos_b_ui,3,2,10,1,2,6,3,1,1,0,0,12
convert-uint4-short4,1,4,6,1,0,2,2,1,1,1,0,8
masked_store_splat_combined_with_bounds,2,4,27,2,16,23,4,1,1,3,0,48
convert-float16-char16,2,8,35,1,16,19,3,1,1,0,0,48
add_sat-uint2,3,2,14,1,6,9,4,1,1,1,0,18
add_sat-uint3,3,3,19,1,9,12,4,1,1,0,0,27
masked_store_splat_scalar,5,3,15,2,7,11,6,1,1,1,0,19
add_sat-uint4,3,4,24,1,12,15,4,1,1,0,0,36
add_sat-uint8,3,8,44,1,24,27,4,1,1,1,0,72
log2-float8,1,8,18,1,8,10,3,1,1,0,8,24
convert-float4-uchar4_rtz,1,4,10,1,4,6,3,1,1,14,0,12
convert-float3-uchar3_rtp,1,3,8,1,3,5,3,1,1,12,0,9
mul24-uint,2,3,8,1,3,6,3,1,1,12,0,11
convert-float4-uchar4_rtp,1,4,10,1,4,6,3,1,1,12,0,12
"ma , -short8",2,4,19,1,8,11,3,1,2,1,0,32
convert-float4-uchar4_rtn,1,4,10,1,4,6,3,1,1,9,0,12
clamp-short16,3,8,60,1,32,36,4,1,1,12,0,104
"ma , -short2",2,2,7,1,2,5,3,1,1,0,0,8
convert-float4-uchar4_rte,1,4,10,1,4,6,3,1,1,14,0,12
"ma , -short4",2,2,11,1,4,7,3,1,2,14,0,16
"loop-1d-e , tra-dim_pma",2,8,27,1,8,11,3,1,1,2,0,40
memcpy_3D,2,8,19,1,8,10,3,1,1,0,0,32
masked_store_char16,2,8,19,1,8,10,3,1,1,1,0,32
atan-float,1,1,4,1,1,3,3,1,1,8,1,3
clamp-short3,5,2,18,1,6,11,4,2,1,0,0,22
convert-ushort-int,3,1,5,1,0,3,2,2,1,12,0,3
convert-char4-short4,1,2,6,1,2,4,3,1,1,3,0,6
vec_step-char,1,1,3,1,0,2,2,1,1,12,0,2
convert-float8-short8_sat_rtn,6,8,95,1,80,82,5,1,2,2,0,208
native_cos-float3,2,3,9,1,3,5,3,1,1,3,3,12
store-1-byte-multi-dim,5,2,14,2,6,10,6,2,1,7,0,14
log2-mul-float4,2,4,15,1,4,7,3,1,1,14,4,20
convert-float3-uchar3_sat_rte,7,4,44,1,33,35,6,1,2,14,0,84
"ma , -int4",2,4,15,1,4,7,3,1,1,10,0,20
abs-short16,1,8,26,1,16,18,3,1,1,10,0,40
convert-float-ushort,1,1,4,1,1,3,3,1,1,12,0,3
convert-float3-uchar3_sat_rtn,7,4,44,1,33,35,6,1,2,3,0,84
convert-float8-short8_sat_rte,6,8,95,1,80,82,5,1,2,0,0,208
convert-float3-uchar3_sat_rtp,7,4,44,1,33,35,6,1,2,10,0,84
select-char4,3,2,20,1,10,14,4,1,1,1,0,28
convert-float3-uchar3_sat_rtz,7,4,44,1,33,35,6,1,2,10,0,84
hadd-uint,2,1,6,1,1,4,3,1,1,12,0,5
rotate-ushort,3,2,12,1,6,9,5,1,1,10,0,14
convert-uchar8-char8,1,3,5,1,0,2,2,1,1,10,0,6
convert-uchar2-ushort2,1,1,4,1,1,3,3,1,1,10,0,3
convert-ushort16-uchar16,1,8,10,1,0,2,2,1,1,10,0,16
convert-int8-char8,1,8,10,1,0,2,2,1,1,10,0,16
shl-const-non-imm-mask-int_pma,2,4,11,1,4,6,3,1,1,0,0,16
convert-uint16-int16,2,8,20,1,0,4,2,2,1,10,0,32
rotate-short,3,2,12,1,6,9,5,1,1,12,0,14
add_sat-short,4,3,11,1,4,7,4,1,1,12,0,14
convert-uint-short,1,1,3,1,0,2,2,1,1,10,0,2
clamp-uchar16_scalar,4,16,57,1,42,46,5,1,1,1,0,102
"gather-mode4-ze , t",3,8,37,1,20,24,7,1,1,1,0,56
convert-ushort16-float16_rte,1,8,27,1,16,19,3,2,1,3,0,40
upsample-short16,3,16,37,1,16,20,3,2,2,10,0,80
convert-ushort16-float16_rtn,1,8,27,1,16,19,3,2,1,3,0,40
min-short8,2,4,19,1,8,11,3,1,2,1,0,32
ashr-basic-char-1_pma,2,8,27,1,16,18,4,1,1,1,0,40
hadd-uchar16,2,8,27,1,8,11,3,1,1,1,0,40
mul_hi-char,3,1,10,1,4,7,5,1,1,3,0,9
store-1-byte-2D,5,2,13,2,6,9,6,1,1,14,0,13
min-short3,4,2,12,1,3,7,3,2,1,3,0,14
min-short2,2,2,7,1,2,5,3,1,1,3,0,8
min-short4,2,2,11,1,4,7,3,1,2,0,0,16
select-ushort,3,1,9,1,2,6,4,1,1,0,0,8
min-short16,2,8,35,1,16,19,3,1,2,15,0,64
min-char,2,1,8,1,3,6,4,1,1,3,0,7
clamp-int_scalar,3,1,9,1,2,6,4,1,1,0,0,8
clamp-char2_scalar,3,2,14,1,7,11,5,1,1,0,0,16
convert-ushort2-char2,1,1,3,1,0,2,2,1,1,0,0,2
copysign-float8,4,8,45,1,24,27,4,1,1,0,0,72
convert-float-uchar_sat_rtp,7,4,20,1,11,13,6,1,1,0,0,28
convert-float3-int3_sat_rte,6,4,37,1,27,29,4,1,2,0,0,75
convert-uint3-float3,1,3,8,1,3,5,3,1,1,15,0,9
scatter-store-predicated,4,4,32,2,17,30,4,2,2,11,0,53
gather-int-with-condition,1,8,15,1,0,3,4,1,1,0,0,24
convert-float3-int3_sat_rtn,6,4,37,1,27,29,4,1,2,2,0,75
convert-float3-int3_sat_rtp,6,4,37,1,27,29,4,1,2,0,0,75
select-char,4,1,11,1,3,7,5,1,1,1,0,10
add-non-splat-non-imm-1d-short4_pma,3,2,8,1,2,4,3,1,1,7,0,8
convert-float3-int3_sat_rtz,6,4,37,1,27,29,4,1,2,0,0,75
convert-float2-char2_sat_rtz,6,4,29,1,20,22,5,1,2,1,0,52
shifts-multiple-const-non-imm-mask-int-1_pma,3,8,36,1,24,26,4,1,1,12,0,64
convert-float-uchar_sat_rtn,7,4,20,1,11,13,6,1,1,0,0,28
convert-short2-uchar2,1,1,3,1,0,2,2,1,1,0,0,2
convert-int-float_rtp,11,6,37,1,24,26,9,1,1,5,0,54
accumulate-multiple-loops_pma,1,4,10,2,4,10,3,1,1,12,0,12
convert-uchar4-float4_rtn,1,2,8,1,4,6,3,1,1,15,0,10
convert-int3-short3,1,4,6,1,0,2,2,1,1,12,0,8
hadd-ushort16,2,8,27,1,8,11,3,1,1,15,0,40
convert-int-float_rtz,8,4,25,1,15,17,7,1,1,1,0,35
"ma , -int",2,1,6,1,1,4,3,1,1,15,0,5
convert-float4-char4_sat,6,4,51,1,40,42,5,1,2,1,0,104
round-float,7,5,22,1,13,15,5,1,1,12,0,33
convert-uchar8-uint8,3,4,12,1,4,7,3,2,1,8,0,13
convert-uchar4-float4_rte,1,2,8,1,4,6,3,1,1,0,0,10
convert-uchar4-float4_rtz,1,2,8,1,4,6,3,1,1,1,0,10
upsample-uchar16,3,8,44,1,24,27,4,1,1,1,0,64
convert-int3-uchar3,1,4,6,1,0,2,2,1,1,12,0,8
convert-int-float_rte,1,1,4,1,1,3,3,1,1,1,0,3
convert-uchar4-float4_rtp,1,2,8,1,4,6,3,1,1,0,0,10
convert-int-float_rtn,11,6,37,1,24,26,9,1,1,5,0,54
rotate-short8,2,4,27,1,16,19,4,1,1,12,0,40
log2-mul-float,2,1,6,1,1,4,3,1,1,0,1,5
vec_step-float,1,1,3,1,0,2,2,1,1,15,0,2
add-wide-interlace-1d-int2_pma,3,8,23,1,8,13,3,2,1,3,0,36
mul_hi-int8,2,8,75,1,56,59,4,1,1,1,0,152
convert-float2-char2_sat,6,4,29,1,20,22,5,1,2,0,0,52
rotate-short4,2,2,15,1,8,11,4,1,1,1,0,20
